codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_postos,meio_6h,170,58.020422815780705,-42.53755596573766,1006.8895296008494,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_postos,original,170,60.400565095190416,-43.42229023044878,1045.637322920294,todos
86510000,Muçum,ev20230904,desenvolvimento,12,ridge_montante,integral_12h,170,84.69038625594011,-56.48510150369433,1242.5521435762732,todos
86510000,Muçum,ev20230904,desenvolvimento,12,ridge_montante,integral_6h,170,88.02293731818047,-54.497289289051984,1255.3133621721731,todos
86510000,Muçum,ev20230904,desenvolvimento,12,ridge_montante,meio_12h,170,88.58566579660463,-53.342009452893365,1288.8794650187233,todos
86510000,Muçum,ev20230904,desenvolvimento,12,ridge_montante,meio_6h,170,89.40749904110287,-52.348103345572184,1295.2600743166731,todos
86510000,Muçum,ev20230904,desenvolvimento,12,ridge_montante,original,170,93.36251911258744,-50.19891740209239,1335.2067864611731,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_delta,integral_12h,253,16.0414124333032,0.44293405622911514,167.8893312863388,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_delta,integral_6h,253,16.267022828661204,0.28119845173695496,180.9332422328746,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_delta,meio_12h,253,14.01426239185214,-1.0965854744069592,157.94760198308813,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_delta,meio_6h,253,13.890387633884863,-1.1774532766530392,164.46955745635614,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_delta,original,253,13.569237625253972,-2.636105005043036,148.00587267983758,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_postos,integral_12h,253,17.922317903778644,0.31831116727973313,148.51734351430468,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_postos,integral_6h,253,17.400176583414883,0.2055038719833279,162.94467532280896,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_postos,meio_12h,253,15.810891221017124,-0.5872425443202618,137.45296084380846,todos
86510000,Muçum,ev20230908,desenvolvimento,6,gbm_postos,meio_6h,253,15.333589838774774,-0.6436461919684654,144.66662674806048,todos
